task_id	task_type	model_id	context	track	seed	best_epoch	validation_threshold	accuracy	precision	recall	specificity	f1	balanced_accuracy	mcc	auroc	auprc	brier	ece	tp	tn	fp	fn	rc_test_samples	rc_cosine_mean	rc_l2_mean	selected_alpha	pearson_macro	spearman_macro	r2_macro	mae_macro	rmse_macro	panel_code
TES_polyA	binary	CropGenomeFM_step19000_continuation	512	downstream_cold_genus_pretraining_seen_genus	13	51	0.7178241014480591	0.72265625	0.8584905660377359	0.533203125	0.912109375	0.6578313253012048	0.72265625	0.4811925961690835	0.8259162902832031	0.8361486126624303	0.17849549495582262	0.08835506070490418	273	467	45	239	1024	1.0	0.0							A3
TES_polyA	binary	CropGenomeFM_step19000_continuation	512	downstream_cold_genus_pretraining_seen_genus	29	51	0.7178241014480591	0.72265625	0.8584905660377359	0.533203125	0.912109375	0.6578313253012048	0.72265625	0.4811925961690835	0.8259162902832031	0.8361486126624303	0.17849549495582262	0.08835506070490418	273	467	45	239	1024	1.0	0.0							A3
TES_polyA	binary	CropGenomeFM_step19000_continuation	512	downstream_cold_genus_pretraining_seen_genus	43	51	0.7178241014480591	0.72265625	0.8584905660377359	0.533203125	0.912109375	0.6578313253012048	0.72265625	0.4811925961690835	0.8259162902832031	0.8361486126624303	0.17849549495582262	0.08835506070490418	273	467	45	239	1024	1.0	0.0							A3
TES_polyA	binary	CropGenomeFM_step19000_continuation	512	downstream_cold_genus_pretraining_seen_genus	71	51	0.7178241014480591	0.72265625	0.8584905660377359	0.533203125	0.912109375	0.6578313253012048	0.72265625	0.4811925961690835	0.8259162902832031	0.8361486126624303	0.17849549495582262	0.08835506070490418	273	467	45	239	1024	1.0	0.0							A3
TES_polyA	binary	CropGenomeFM_step19000_continuation	512	downstream_cold_genus_pretraining_seen_genus	97	51	0.7178241014480591	0.72265625	0.8584905660377359	0.533203125	0.912109375	0.6578313253012048	0.72265625	0.4811925961690835	0.8259162902832031	0.8361486126624303	0.17849549495582262	0.08835506070490418	273	467	45	239	1024	1.0	0.0							A3
splice_donor_acceptor	binary	CropGenomeFM_step19000_continuation	2048	downstream_cold_genus_pretraining_seen_genus	13	127	0.8499999999999999	0.8291015625	0.9493333333333334	0.6953125	0.962890625	0.8027057497181511	0.8291015625	0.6831120064483406	0.9011993408203125	0.9246769326607216	0.12550712252479038	0.058560181660823184	356	493	19	156	1024	1.0	3.695487976074219e-05							A1
splice_donor_acceptor	binary	CropGenomeFM_step19000_continuation	2048	downstream_cold_genus_pretraining_seen_genus	29	127	0.8499999999999999	0.8291015625	0.9493333333333334	0.6953125	0.962890625	0.8027057497181511	0.8291015625	0.6831120064483406	0.9011993408203125	0.9246769326607216	0.12550712252479038	0.058560181660823184	356	493	19	156	1024	1.0	3.695487976074219e-05							A1
splice_donor_acceptor	binary	CropGenomeFM_step19000_continuation	2048	downstream_cold_genus_pretraining_seen_genus	43	127	0.8499999999999999	0.8291015625	0.9493333333333334	0.6953125	0.962890625	0.8027057497181511	0.8291015625	0.6831120064483406	0.9011993408203125	0.9246769326607216	0.12550712252479038	0.058560181660823184	356	493	19	156	1024	1.0	3.695487976074219e-05							A1
splice_donor_acceptor	binary	CropGenomeFM_step19000_continuation	2048	downstream_cold_genus_pretraining_seen_genus	71	127	0.8499999999999999	0.8291015625	0.9493333333333334	0.6953125	0.962890625	0.8027057497181511	0.8291015625	0.6831120064483406	0.9011993408203125	0.9246769326607216	0.12550712252479038	0.058560181660823184	356	493	19	156	1024	1.0	3.695487976074219e-05							A1
splice_donor_acceptor	binary	CropGenomeFM_step19000_continuation	2048	downstream_cold_genus_pretraining_seen_genus	97	127	0.8499999999999999	0.8291015625	0.9493333333333334	0.6953125	0.962890625	0.8027057497181511	0.8291015625	0.6831120064483406	0.9011993408203125	0.9246769326607216	0.12550712252479038	0.058560181660823184	356	493	19	156	1024	1.0	3.695487976074219e-05							A1
