context_bp	task_id	method	primary_metric	value	train_fraction	n_probe_seeds	n_train	n_validation	n_test	evidence_role
8192	promoter_TSS	HyenaDNA_medium_160k	AUPRC	0.68130052	1.0	5	4096.0	1024	1024	formal_test
8192	promoter_TSS	PlantCAD2_Small	AUPRC	0.90248975	1.0	5	4096.0	1024	1024	formal_test
8192	promoter_TSS	PlantCaduceus_l32	AUPRC	0.88085071	1.0	5	4096.0	1024	1024	formal_test
8192	promoter_TSS	central_33bp_linear_probe	AUPRC	0.72714411	1.0	5	4096.0	1024	1024	formal_test
8192	promoter_TSS	composition_linear_probe	AUPRC	0.51159835	1.0	5	4096.0	1024	1024	formal_test
8192	promoter_TSS	majority_baseline	AUPRC	0.30734086	1.0	1	4096.0	1024	1024	formal_test
8192	splice_donor_acceptor	1mer_linear_probe	AUPRC	0.56254019	1.0	5	4096.0	1024	1024	formal_test
8192	splice_donor_acceptor	3mer_linear_probe	AUPRC	0.52928913	1.0	5	4096.0	1024	1024	formal_test
8192	splice_donor_acceptor	6mer_linear_probe	AUPRC	0.55539378	1.0	5	4096.0	1024	1024	formal_test
8192	splice_donor_acceptor	Caduceus_PS_131k	AUPRC	0.59942976	1.0	5	4096.0	1024	1024	formal_test
8192	splice_donor_acceptor	CropGenomeFM_random_init	AUPRC	0.52304827	1.0	5	4096.0	1024	1024	formal_test
8192	splice_donor_acceptor	CropGenomeFM_step14000	AUPRC	0.76276038	1.0	5	4096.0	1024	1024	formal_test
8192	splice_donor_acceptor	Evo2_1B_base	AUPRC	0.53371941	1.0	5	4096.0	1024	1024	formal_test
8192	splice_donor_acceptor	HyenaDNA_medium_160k	AUPRC	0.54945300	1.0	5	4096.0	1024	1024	formal_test
8192	splice_donor_acceptor	PlantCAD2_Small	AUPRC	0.61508815	1.0	5	4096.0	1024	1024	formal_test
8192	splice_donor_acceptor	PlantCaduceus_l32	AUPRC	0.66010960	1.0	5	4096.0	1024	1024	formal_test
8192	splice_donor_acceptor	central_33bp_linear_probe	AUPRC	0.84758873	1.0	5	4096.0	1024	1024	formal_test
8192	splice_donor_acceptor	composition_linear_probe	AUPRC	0.56861125	1.0	5	4096.0	1024	1024	formal_test
8192	splice_donor_acceptor	majority_baseline	AUPRC	0.30734086	1.0	1	4096.0	1024	1024	formal_test
512	MACRO_3_TASKS	1mer_linear_probe	AUPRC	0.59071312	1.0	5	4096 per task	1024 per task	1024 per task	formal_test_macro
512	MACRO_3_TASKS	3mer_linear_probe	AUPRC	0.69208465	1.0	5	4096 per task	1024 per task	1024 per task	formal_test_macro
512	MACRO_3_TASKS	6mer_linear_probe	AUPRC	0.67242984	1.0	5	4096 per task	1024 per task	1024 per task	formal_test_macro
512	MACRO_3_TASKS	AgroNT_1B	AUPRC	0.81148688	1.0	5	4096 per task	1024 per task	1024 per task	formal_test_macro
512	MACRO_3_TASKS	Caduceus_PS_131k	AUPRC	0.74656447	1.0	5	4096 per task	1024 per task	1024 per task	formal_test_macro
512	MACRO_3_TASKS	CropGenomeFM_random_init	AUPRC	0.66851007	1.0	5	4096 per task	1024 per task	1024 per task	formal_test_macro
512	MACRO_3_TASKS	CropGenomeFM_step14000	AUPRC	0.83275809	1.0	5	4096 per task	1024 per task	1024 per task	formal_test_macro
512	MACRO_3_TASKS	DNABERT2_117M	AUPRC	0.74357438	1.0	5	4096 per task	1024 per task	1024 per task	formal_test_macro
512	MACRO_3_TASKS	Evo2_1B_base	AUPRC	0.58255474	1.0	5	4096 per task	1024 per task	1024 per task	formal_test_macro
512	MACRO_3_TASKS	HyenaDNA_medium_160k	AUPRC	0.75037223	1.0	5	4096 per task	1024 per task	1024 per task	formal_test_macro
512	MACRO_3_TASKS	NTv2_100M_multi_species	AUPRC	0.77191014	1.0	5	4096 per task	1024 per task	1024 per task	formal_test_macro
512	MACRO_3_TASKS	PlantCAD2_Small	AUPRC	0.84499447	1.0	5	4096 per task	1024 per task	1024 per task	formal_test_macro
512	MACRO_3_TASKS	PlantCaduceus_l32	AUPRC	0.84452280	1.0	5	4096 per task	1024 per task	1024 per task	formal_test_macro
512	MACRO_3_TASKS	central_33bp_linear_probe	AUPRC	0.75815537	1.0	5	4096 per task	1024 per task	1024 per task	formal_test_macro
512	MACRO_3_TASKS	composition_linear_probe	AUPRC	0.61297835	1.0	5	4096 per task	1024 per task	1024 per task	formal_test_macro
512	MACRO_3_TASKS	majority_baseline	AUPRC	0.30734086	1.0	5	4096 per task	1024 per task	1024 per task	formal_test_macro
2048	MACRO_3_TASKS	1mer_linear_probe	AUPRC	0.54846223	1.0	5	4096 per task	1024 per task	1024 per task	formal_test_macro
2048	MACRO_3_TASKS	3mer_linear_probe	AUPRC	0.66752083	1.0	5	4096 per task	1024 per task	1024 per task	formal_test_macro
2048	MACRO_3_TASKS	6mer_linear_probe	AUPRC	0.62139584	1.0	5	4096 per task	1024 per task	1024 per task	formal_test_macro
2048	MACRO_3_TASKS	AgroNT_1B	AUPRC	0.85141713	1.0	5	4096 per task	1024 per task	1024 per task	formal_test_macro
2048	MACRO_3_TASKS	Caduceus_PS_131k	AUPRC	0.77411981	1.0	5	4096 per task	1024 per task	1024 per task	formal_test_macro
2048	MACRO_3_TASKS	CropGenomeFM_random_init	AUPRC	0.70016275	1.0	5	4096 per task	1024 per task	1024 per task	formal_test_macro
2048	MACRO_3_TASKS	CropGenomeFM_step14000	AUPRC	0.88345301	1.0	5	4096 per task	1024 per task	1024 per task	formal_test_macro
2048	MACRO_3_TASKS	Evo2_1B_base	AUPRC	0.60334073	1.0	5	4096 per task	1024 per task	1024 per task	formal_test_macro
2048	MACRO_3_TASKS	HyenaDNA_medium_160k	AUPRC	0.77115811	1.0	5	4096 per task	1024 per task	1024 per task	formal_test_macro
2048	MACRO_3_TASKS	NTv2_100M_multi_species	AUPRC	0.81285534	1.0	5	4096 per task	1024 per task	1024 per task	formal_test_macro
2048	MACRO_3_TASKS	PlantCAD2_Small	AUPRC	0.84890290	1.0	5	4096 per task	1024 per task	1024 per task	formal_test_macro
2048	MACRO_3_TASKS	PlantCaduceus_l32	AUPRC	0.84795656	1.0	5	4096 per task	1024 per task	1024 per task	formal_test_macro
2048	MACRO_3_TASKS	central_33bp_linear_probe	AUPRC	0.75815537	1.0	5	4096 per task	1024 per task	1024 per task	formal_test_macro
2048	MACRO_3_TASKS	composition_linear_probe	AUPRC	0.56842971	1.0	5	4096 per task	1024 per task	1024 per task	formal_test_macro
2048	MACRO_3_TASKS	majority_baseline	AUPRC	0.30734086	1.0	5	4096 per task	1024 per task	1024 per task	formal_test_macro
8192	MACRO_3_TASKS	1mer_linear_probe	AUPRC	0.53996485	1.0	5	4096 per task	1024 per task	1024 per task	formal_test_macro
8192	MACRO_3_TASKS	3mer_linear_probe	AUPRC	0.65794611	1.0	5	4096 per task	1024 per task	1024 per task	formal_test_macro
8192	MACRO_3_TASKS	6mer_linear_probe	AUPRC	0.60667375	1.0	5	4096 per task	1024 per task	1024 per task	formal_test_macro
8192	MACRO_3_TASKS	Caduceus_PS_131k	AUPRC	0.77168201	1.0	5	4096 per task	1024 per task	1024 per task	formal_test_macro
8192	MACRO_3_TASKS	CropGenomeFM_random_init	AUPRC	0.70651665	1.0	5	4096 per task	1024 per task	1024 per task	formal_test_macro
8192	MACRO_3_TASKS	CropGenomeFM_step14000	AUPRC	0.85489774	1.0	5	4096 per task	1024 per task	1024 per task	formal_test_macro
8192	MACRO_3_TASKS	Evo2_1B_base	AUPRC	0.53856423	1.0	5	4096 per task	1024 per task	1024 per task	formal_test_macro
8192	MACRO_3_TASKS	HyenaDNA_medium_160k	AUPRC	0.68637904	1.0	5	4096 per task	1024 per task	1024 per task	formal_test_macro
8192	MACRO_3_TASKS	PlantCAD2_Small	AUPRC	0.81443292	1.0	5	4096 per task	1024 per task	1024 per task	formal_test_macro
8192	MACRO_3_TASKS	PlantCaduceus_l32	AUPRC	0.82224536	1.0	5	4096 per task	1024 per task	1024 per task	formal_test_macro
8192	MACRO_3_TASKS	central_33bp_linear_probe	AUPRC	0.75815537	1.0	5	4096 per task	1024 per task	1024 per task	formal_test_macro
8192	MACRO_3_TASKS	composition_linear_probe	AUPRC	0.54451047	1.0	5	4096 per task	1024 per task	1024 per task	formal_test_macro
8192	MACRO_3_TASKS	majority_baseline	AUPRC	0.30734086	1.0	5	4096 per task	1024 per task	1024 per task	formal_test_macro
