context_bp	task_id	task_type	model_id	primary_metric	value	n_train	n_validation	n_test	selected_ridge_alpha	evidence_role
512	enhancer_cassava_proseq	binary	PlantCaduceus_l32	AUPRC	0.82074636	16852	1229	812		formal_test
512	gene_expression_arabidopsis_thaliana	multi_regression	PlantCaduceus_l32	macro Pearson	0.15340527	25728	3399	3402	100.0	formal_test
512	gene_expression_glycine_max	multi_regression	PlantCaduceus_l32	macro Pearson	0.15683332	47105	4801	4803	100.0	formal_test
512	gene_expression_oryza_sativa	multi_regression	PlantCaduceus_l32	macro Pearson	0.10883150	31224	3700	3702	100.0	formal_test
512	gene_expression_solanum_lycopersicum	multi_regression	PlantCaduceus_l32	macro Pearson	0.29518322	27307	3826	3827	100.0	formal_test
512	gene_expression_zea_mays	multi_regression	PlantCaduceus_l32	macro Pearson	0.20186571	34487	4482	4483	100.0	formal_test
512	lncrna_multispecies	binary	PlantCaduceus_l32	AUPRC	0.74803685	45588	5112	6095		formal_test
6000	enhancer_cassava_proseq	binary	PlantCaduceus_l32	AUPRC	0.82632063	16852	1229	812		formal_test
6000	gene_expression_arabidopsis_thaliana	multi_regression	PlantCaduceus_l32	macro Pearson	0.55964408	25728	3399	3402	10.0	formal_test
6000	gene_expression_glycine_max	multi_regression	PlantCaduceus_l32	macro Pearson	0.59880179	47105	4801	4803	10.0	formal_test
6000	gene_expression_oryza_sativa	multi_regression	PlantCaduceus_l32	macro Pearson	0.52100666	31224	3700	3702	100.0	formal_test
6000	gene_expression_solanum_lycopersicum	multi_regression	PlantCaduceus_l32	macro Pearson	0.63520349	27307	3826	3827	10.0	formal_test
6000	gene_expression_zea_mays	multi_regression	PlantCaduceus_l32	macro Pearson	0.67110340	34487	4482	4483	100.0	formal_test
6000	lncrna_multispecies	binary	PlantCaduceus_l32	AUPRC	0.75354287	45588	5112	6095		formal_test
512	enhancer_cassava_proseq	binary	PlantCAD2_Small	AUPRC	0.85720787	16852	1229	812		formal_test
512	gene_expression_arabidopsis_thaliana	multi_regression	PlantCAD2_Small	macro Pearson	0.11510449	25728	3399	3402	100.0	formal_test
512	gene_expression_glycine_max	multi_regression	PlantCAD2_Small	macro Pearson	0.16682689	47105	4801	4803	100.0	formal_test
512	gene_expression_oryza_sativa	multi_regression	PlantCAD2_Small	macro Pearson	0.12354279	31224	3700	3702	100.0	formal_test
512	gene_expression_solanum_lycopersicum	multi_regression	PlantCAD2_Small	macro Pearson	0.29320552	27307	3826	3827	100.0	formal_test
512	gene_expression_zea_mays	multi_regression	PlantCAD2_Small	macro Pearson	0.19211420	34487	4482	4483	100.0	formal_test
512	lncrna_multispecies	binary	PlantCAD2_Small	AUPRC	0.74190387	45588	5112	6095		formal_test
6000	enhancer_cassava_proseq	binary	PlantCAD2_Small	AUPRC	0.86154861	16852	1229	812		formal_test
6000	gene_expression_arabidopsis_thaliana	multi_regression	PlantCAD2_Small	macro Pearson	0.55180658	25728	3399	3402	100.0	formal_test
6000	gene_expression_glycine_max	multi_regression	PlantCAD2_Small	macro Pearson	0.58549747	47105	4801	4803	0.1	formal_test
6000	gene_expression_oryza_sativa	multi_regression	PlantCAD2_Small	macro Pearson	0.51807320	31224	3700	3702	100.0	formal_test
6000	gene_expression_solanum_lycopersicum	multi_regression	PlantCAD2_Small	macro Pearson	0.63064775	27307	3826	3827	100.0	formal_test
6000	gene_expression_zea_mays	multi_regression	PlantCAD2_Small	macro Pearson	0.67394138	34487	4482	4483	1.0	formal_test
6000	lncrna_multispecies	binary	PlantCAD2_Small	AUPRC	0.73998484	45588	5112	6095		formal_test
512	enhancer_cassava_proseq	binary	Caduceus_PS_131k	AUPRC	0.75425706	16852	1229	812		formal_test
512	gene_expression_arabidopsis_thaliana	multi_regression	Caduceus_PS_131k	macro Pearson	0.06974307	25728	3399	3402	10.0	formal_test
512	gene_expression_glycine_max	multi_regression	Caduceus_PS_131k	macro Pearson	0.12229990	47105	4801	4803	100.0	formal_test
512	gene_expression_oryza_sativa	multi_regression	Caduceus_PS_131k	macro Pearson	0.05567312	31224	3700	3702	100.0	formal_test
512	gene_expression_solanum_lycopersicum	multi_regression	Caduceus_PS_131k	macro Pearson	0.25292071	27307	3826	3827	100.0	formal_test
512	gene_expression_zea_mays	multi_regression	Caduceus_PS_131k	macro Pearson	0.12396792	34487	4482	4483	100.0	formal_test
512	lncrna_multispecies	binary	Caduceus_PS_131k	AUPRC	0.61770962	45588	5112	6095		formal_test
6000	enhancer_cassava_proseq	binary	Caduceus_PS_131k	AUPRC	0.75885250	16852	1229	812		formal_test
6000	gene_expression_arabidopsis_thaliana	multi_regression	Caduceus_PS_131k	macro Pearson	0.39556152	25728	3399	3402	0.1	formal_test
6000	gene_expression_glycine_max	multi_regression	Caduceus_PS_131k	macro Pearson	0.44319267	47105	4801	4803	0.0001	formal_test
6000	gene_expression_oryza_sativa	multi_regression	Caduceus_PS_131k	macro Pearson	0.41954789	31224	3700	3702	0.1	formal_test
6000	gene_expression_solanum_lycopersicum	multi_regression	Caduceus_PS_131k	macro Pearson	0.48144853	27307	3826	3827	0.01	formal_test
6000	gene_expression_zea_mays	multi_regression	Caduceus_PS_131k	macro Pearson	0.48044716	34487	4482	4483	0.0001	formal_test
6000	lncrna_multispecies	binary	Caduceus_PS_131k	AUPRC	0.62796287	45588	5112	6095		formal_test
512	enhancer_cassava_proseq	binary	Evo2_1B_base	AUPRC	0.53874539	16852	1229	812		formal_test
512	gene_expression_arabidopsis_thaliana	multi_regression	Evo2_1B_base	macro Pearson	0.04394088	25728	3399	3402	100.0	formal_test
512	gene_expression_glycine_max	multi_regression	Evo2_1B_base	macro Pearson	0.09542924	47105	4801	4803	0.0001	formal_test
512	gene_expression_oryza_sativa	multi_regression	Evo2_1B_base	macro Pearson	0.04702360	31224	3700	3702	100.0	formal_test
512	gene_expression_solanum_lycopersicum	multi_regression	Evo2_1B_base	macro Pearson	0.19887376	27307	3826	3827	0.01	formal_test
512	gene_expression_zea_mays	multi_regression	Evo2_1B_base	macro Pearson	0.04712498	34487	4482	4483	0.1	formal_test
512	lncrna_multispecies	binary	Evo2_1B_base	AUPRC	0.54994445	45588	5112	6095		formal_test
6000	enhancer_cassava_proseq	binary	Evo2_1B_base	AUPRC	0.49481712	16852	1229	812		formal_test
6000	gene_expression_arabidopsis_thaliana	multi_regression	Evo2_1B_base	macro Pearson	0.16880857	25728	3399	3402	0.001	formal_test
6000	gene_expression_glycine_max	multi_regression	Evo2_1B_base	macro Pearson	0.18184007	47105	4801	4803	0.0001	formal_test
6000	gene_expression_oryza_sativa	multi_regression	Evo2_1B_base	macro Pearson	0.07270651	31224	3700	3702	100.0	formal_test
6000	gene_expression_solanum_lycopersicum	multi_regression	Evo2_1B_base	macro Pearson	0.23949612	27307	3826	3827	100.0	formal_test
6000	gene_expression_zea_mays	multi_regression	Evo2_1B_base	macro Pearson	0.10322219	34487	4482	4483	0.0001	formal_test
6000	lncrna_multispecies	binary	Evo2_1B_base	AUPRC	0.55538839	45588	5112	6095		formal_test
