task_id	task_label	method	method_label	source_method	train_fraction	n_seeds	train_samples_mean	validation_samples	test_samples	balanced_accuracy_std	rc_mcc_mean	rc_prediction_agreement_mean	rc_embedding_cosine_mean	accuracy_mean	balanced_accuracy_mean	mcc_mean	auroc_mean	auprc_mean	f1_mean	brier_mean	ece_mean
splice_donor_acceptor	Splice donor / acceptor	step14000	CropGenome-FM step14000	step14000	1.0	5	4096.0	1024	1024	0.0	0.7800843678047249	1.0	1.0	0.8896484375	0.8896484375	0.7800843678047249	0.9443588256835938	0.9512978209697867	0.887112887112887	0.08538909715323262	0.02871322429490421
splice_donor_acceptor	Splice donor / acceptor	step17000	CropGenome-FM step17000	step17000	1.0	5	4096.0	1024	1024	0.0	0.7435070966727909	1.0	1.0	0.8671875	0.8671875	0.7435070966727909	0.9327507019042969	0.9411958497975512	0.8559322033898307	0.09921211173835977	0.039617952540140805
TES_polyA	TES / poly(A)	best_kmer	Best k-mer	1mer_linear_probe	0.01	5	45.0	1024	1024	0.04066183914130687				0.57734375	0.57734375	0.16307733329205587	0.5923469543457032	0.5693580139278569	0.6316915244652279	0.24134262281950475	0.04722845663782209
TES_polyA	TES / poly(A)	random_init	Random init	random_init	0.01	5	45.0	1024	1024	0.009603140444484001	0.04439451611453883	1.0	1.0	0.512890625	0.512890625	0.04439451611453883	0.5198387145996094	0.507159272537838	0.49871313092197733	0.4125508768791624	0.38391873349091477
TES_polyA	TES / poly(A)	DNABERT2_117M	DNABERT-2 117M	DNABERT2_117M	0.01	5	45.0	1024	1024	0.03388967363737879	-0.07887708493909953	0.6587890625	0.9474185705184937	0.5552734375	0.5552734375	0.12240048832400718	0.5861892700195312	0.5638487267809882	0.46231217993109086	0.3488891623577848	0.30503574759334495
TES_polyA	TES / poly(A)	NTv2_100M_multi_species	NT-v2 100M*	NTv2_100M_multi_species	0.01	5	45.0	1024	1024	0.0426401229387125	-0.08911915783584647	0.55546875	0.9756494760513306	0.5732421875	0.5732421875	0.16602134840225735	0.6079315185546875	0.5865487038362949	0.6569913509049778	0.35413694916785626	0.3223792298981615
TES_polyA	TES / poly(A)	step14000	CropGenome-FM step14000	step14000	0.01	5	45.0	1024	1024	0.02157739097457177	0.1422819299132671	1.0	1.0	0.5662109375	0.5662109375	0.1422819299132671	0.5942485809326172	0.5847024112446307	0.47772607188888194	0.39088771054130494	0.3751437825891067
TES_polyA	TES / poly(A)	step17000	CropGenome-FM step17000	step17000	0.01	5	45.0	1024	1024	0.024749646733392666	0.15321517219371733	1.0	1.0	0.5736328125	0.5736328125	0.15321517219371733	0.6080307006835938	0.568165731190542	0.5882380653236651	0.39047607582551913	0.37680961237269917
TES_polyA	TES / poly(A)	best_kmer	Best k-mer	3mer_linear_probe	0.1	5	414.0	1024	1024	0.00566911143503906				0.6072265625	0.6072265625	0.22938686434839398	0.6443939208984375	0.6213614515931142	0.6539956298029838	0.2353114786537717	0.047669887748270426
TES_polyA	TES / poly(A)	random_init	Random init	random_init	0.1	5	414.0	1024	1024	0.016185621233576326	0.08404528126309219	1.0	1.0	0.536328125	0.536328125	0.08404528126309219	0.5526969909667969	0.5438942723776091	0.5453806524824781	0.32700958562676	0.25405715969532
